program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital
ADULT MENTAL HEALTH,INPATIENT,HTH,HTH,Operating,A,2026,157045865.0,,,,Health,,,General Fund,157.045865,False
ADULT MENTAL HEALTH,OUTPATIENT,HTH,HTH,Operating,A,2026,89622044.0,,,,Health,,,General Fund,89.622044,False
ADULT MENTAL HEALTH - INPATIENT,ADULT MENTAL HEALTH - INPATIENT,AGS,AGS,Capital Improvement,B,2026,23650000.0,,,,Health,,,Special Funds,23.65,True
ADULT MENTAL HEALTH - OUTPATIENT,ADULT MENTAL HEALTH - OUTPATIENT,HTH,HTH,Operating,B,2026,137363.0,,,,Health,,,Special Funds,0.137363,False
ADULT MENTAL HEALTH - OUTPATIENT,ADULT MENTAL HEALTH - OUTPATIENT,HTH,HTH,Operating,A,2026,2333370.0,,,,Health,,,General Fund,2.33337,False
ADULT MENTAL HEALTH - OUTPATIENT,ADULT MENTAL HEALTH - OUTPATIENT,HTH,HTH,Operating,B,2026,11610000.0,,,,Health,,,Special Funds,11.61,False
ADULT PROTECTIVE AND COMMUNITY SERVICES,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,HMS,Operating,A,2026,838010.0,,,,Human Services,,,General Fund,0.83801,False
ADULT PROTECTIVE AND COMMUNITY SERVICES,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,HMS,Operating,U,2026,387560.0,,,,Human Services,,,Other Funds,0.38756,False
ADULT PROTECTIVE AND COMMUNITY SERVICES,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,HMS,Operating,B,2026,1321390.0,,,,Human Services,,,Special Funds,1.32139,False
ADULT PROTECTIVE AND COMMUNITY SERVICES,ADULT PROTECTIVE AND COMMUNITY SERVICES,HMS,HMS,Operating,R,2026,10000.0,,,,Human Services,,,Other Funds,0.01,False
AGRIBUSINESS DEVELOPMENT AND RESEARCH,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Operating,W,2026,16259661.0,,,,Economic Development,,,Special Funds,16.259661,False
AGRIBUSINESS DEVELOPMENT AND RESEARCH,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Capital Improvement,B,2026,111201000.0,,,,Economic Development,,,Special Funds,111.201,True
AGRIBUSINESS DEVELOPMENT AND RESEARCH,AGRIBUSINESS DEVELOPMENT AND RESEARCH,BED,BED,Operating,U,2026,82126.0,,,,Economic Development,,,Other Funds,0.082126,False
AGRICULTURAL DEVELOPMENT AND MARKETING,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,B,2026,15000.0,,,,Economic Development,,,Special Funds,0.015,False
AGRICULTURAL DEVELOPMENT AND MARKETING,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,B,2026,5289219.0,,,,Economic Development,,,Special Funds,5.289219,False
AGRICULTURAL DEVELOPMENT AND MARKETING,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,A,2026,2051568.0,,,,Economic Development,,,General Fund,2.051568,False
AGRICULTURAL RESOURCE MANAGEMENT,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Capital Improvement,B,2026,5000000.0,,,,Economic Development,,,Special Funds,5.0,True
AGRICULTURAL RESOURCE MANAGEMENT,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,W,2026,2747123.0,,,,Economic Development,,,Special Funds,2.747123,False
AGRICULTURAL RESOURCE MANAGEMENT,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,B,2026,2851320.0,,,,Economic Development,,,Special Funds,2.85132,False
AIRPORTS ADMINISTRATION,AIRPORTS ADMINISTRATION,TRN,TRN,Capital Improvement,A,2026,1802000.0,,,,Transportation,,,General Fund,1.802,True
AIRPORTS ADMINISTRATION,AIRPORTS ADMINISTRATION,TRN,TRN,Capital Improvement,B,2026,7500000.0,,,,Transportation,,,Special Funds,7.5,True
AIRPORTS ADMINISTRATION,AIRPORTS ADMINISTRATION,TRN,TRN,Capital Improvement,A,2026,294381000.0,,,,Transportation,,,General Fund,294.381,True
AIRPORTS ADMINISTRATION,AIRPORTS ADMINISTRATION,TRN,TRN,Capital Improvement,X,2026,301200000.0,,,,Transportation,,,Other Funds,301.2,True
ALCOHOL AND DRUG ABUSE DIVISION,ALCOHOL AND DRUG ABUSE DIVISION,HTH,HTH,Operating,B,2026,750000.0,,,,Health,,,Special Funds,0.75,False
ALCOHOL AND DRUG ABUSE DIVISION,ALCOHOL AND DRUG ABUSE DIVISION,HTH,HTH,Operating,B,2026,6654376.0,,,,Health,,,Special Funds,6.654376,False
ALCOHOL AND DRUG ABUSE DIVISION,ALCOHOL AND DRUG ABUSE DIVISION,HTH,HTH,Operating,A,2026,9038656.0,,,,Health,,,General Fund,9.038656,False
AMELIORATION OF PHYSICAL DISASTERS,AMELIORATION OF PHYSICAL DISASTERS,DEF,DEF,Operating,B,2026,1430238.0,,,,Public Safety,,,Special Funds,1.430238,False
AMELIORATION OF PHYSICAL DISASTERS,AMELIORATION OF PHYSICAL DISASTERS,DEF,DEF,Capital Improvement,B,2026,725000.0,,,,Public Safety,,,Special Funds,0.725,True
ANIMAL DISEASE CONTROL,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,B,2026,47802.0,,,,Economic Development,,,Special Funds,0.047802,False
ANIMAL DISEASE CONTROL,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,B,2026,306941.0,,,,Economic Development,,,Special Funds,0.306941,False
ANIMAL DISEASE CONTROL,ANIMAL DISEASE CONTROL,AGS,AGS,Capital Improvement,B,2026,7000000.0,,,,Economic Development,,,Special Funds,7.0,True
AQUACULTURE DEVELOPMENT,AQUACULTURE DEVELOPMENT,AGR,AGR,Operating,B,2026,125000.0,,,,Economic Development,,,Special Funds,0.125,False
AQUARIA,AQUARIA,UOH,UOH,Operating,W,2026,996530.0,,,,Culture and Recreation,,,Special Funds,0.99653,False
AQUARIA,AQUARIA,UOH,UOH,Capital Improvement,B,2026,1702000.0,,,,Culture and Recreation,,,Special Funds,1.702,True
AQUARIA,AQUARIA,UOH,UOH,Operating,B,2026,3517717.0,,,,Culture and Recreation,,,Special Funds,3.517717,False
ARCHIVES,RECORDS MANAGEMENT,AGS,AGS,Operating,A,2026,4383125.0,,,,Government Operations,,,General Fund,4.383125,False
ARCHIVES - RECORDS MANAGEMENT,ARCHIVES - RECORDS MANAGEMENT,AGS,AGS,Operating,B,2026,521304.0,,,,Government Operations,,,Special Funds,0.521304,False
AUTOMOTIVE MANAGEMENT,PARKING CONTROL,AGS,AGS,Operating,W,2026,4563614.0,,,,Government Operations,,,Special Funds,4.563614,False
AUTOMOTIVE MANAGEMENT,MOTOR POOL,AGS,AGS,Operating,W,2026,3541577.0,,,,Government Operations,,,Special Funds,3.541577,False
CAMPAIGN SPENDING COMMISSION,CAMPAIGN SPENDING COMMISSION,AGS,AGS,Operating,T,2026,1043732.0,,,,Government Operations,,,Special Funds,1.043732,False
CASE MANAGEMENT FOR SELF-SUFFICIENCY,CASE MANAGEMENT FOR SELF-SUFFICIENCY,HMS,HMS,Operating,B,2026,30237.0,,,,Human Services,,,Special Funds,0.030237,False
CASE MANAGEMENT FOR SELF-SUFFICIENCY,CASE MANAGEMENT FOR SELF-SUFFICIENCY,HMS,HMS,Operating,A,2026,26545359.0,,,,Human Services,,,General Fund,26.545359,False
CASH SUPPORT FOR CHILD CARE,CASH SUPPORT FOR CHILD CARE,HMS,HMS,Operating,A,2026,69565754.0,,,,Human Services,,,General Fund,69.565754,False
CASH SUPPORT FOR FAMILIES,SELF-SUFFICIENCY,HMS,HMS,Operating,A,2026,26715965.0,,,,Human Services,,,General Fund,26.715965,False
CASH SUPPORT FOR FAMILIES - SELF-SUFFICIENCY,CASH SUPPORT FOR FAMILIES - SELF-SUFFICIENCY,HMS,HMS,Operating,A,2026,44000000.0,,,,Human Services,,,General Fund,44.0,False
CENTRAL SERVICES,GROUNDS MAINTENANCE,AGS,AGS,Operating,A,2026,2669822.0,,,,Government Operations,,,General Fund,2.669822,False
CENTRAL SERVICES,BUILDING REPAIRS AND ALTERATIONS,AGS,AGS,Operating,A,2026,3692561.0,,,,Government Operations,,,General Fund,3.692561,False
