program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,AGR,Operating,A,2026,874338.0,,,,Economic Development,,,General Funds,0.874338,False
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,AGR,Operating,W,2026,5500000.0,,,,Economic Development,,,Revolving Funds,5.5,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,A,2026,21335989.0,,,,Economic Development,,,General Funds,21.335989,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,B,2026,4130800.0,,,,Economic Development,,,Special Funds,4.1308,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,T,2026,512962.0,,,,Economic Development,,,Trust Funds,0.512962,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,U,2026,212095.0,,,,Economic Development,,,Interdepartmental Transfers,0.212095,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,W,2026,50360.0,,,,Economic Development,,,Revolving Funds,0.05036,False
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,AGR,Operating,P,2026,365946.0,,,,Economic Development,,,Other Federal Funds,0.365946,False
AGR131,RABIES QUARANTINE,AGR,AGR,Operating,B,2026,4781110.0,,,,Economic Development,,,Special Funds,4.78111,False
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,P,2026,306941.0,,,,Economic Development,,,Other Federal Funds,0.306941,False
AGR132,ANIMAL DISEASE CONTROL,AGS,AGS,Capital Improvement,C,2026,7000000.0,,,,Economic Development,,,General Obligation Bond Fund,7.0,True
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,B,2026,47802.0,,,,Economic Development,,,Special Funds,0.047802,False
AGR132,ANIMAL DISEASE CONTROL,AGR,AGR,Operating,A,2026,3421755.0,,,,Economic Development,,,General Funds,3.421755,False
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,B,2026,2851320.0,,,,Economic Development,,,Special Funds,2.85132,False
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,W,2026,2747123.0,,,,Economic Development,,,Revolving Funds,2.747123,False
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Capital Improvement,C,2026,5000000.0,,,,Economic Development,,,General Obligation Bond Fund,5.0,True
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Capital Improvement,N,2026,1000.0,,,,Economic Development,,Investment Capital - Fund Type: N,Federal Funds,0.001,True
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,AGR,Operating,A,2026,4221136.0,,,,Economic Development,,,General Funds,4.221136,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,B,2026,109046.0,,,,Economic Development,,,Special Funds,0.109046,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,P,2026,138624.0,,,,Economic Development,,,Other Federal Funds,0.138624,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,W,2026,186848.0,,,,Economic Development,,,Revolving Funds,0.186848,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,T,2026,300000.0,,,,Economic Development,,,Trust Funds,0.3,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,N,2026,100000.0,,,,Economic Development,,,Federal Funds,0.1,False
AGR151,QUALITY AND PRICE ASSURANCE,AGR,AGR,Operating,A,2026,1826443.0,,,,Economic Development,,,General Funds,1.826443,False
AGR153,AQUACULTURE DEVELOPMENT,AGR,AGR,Operating,A,2026,978519.0,,,,Economic Development,,,General Funds,0.978519,False
AGR153,AQUACULTURE DEVELOPMENT,AGR,AGR,Operating,B,2026,125000.0,,,,Economic Development,,,Special Funds,0.125,False
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,P,2026,5289219.0,,,,Economic Development,,,Other Federal Funds,5.289219,False
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,N,2026,2051568.0,,,,Economic Development,,,Federal Funds,2.051568,False
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,B,2026,15000.0,,,,Economic Development,,,Special Funds,0.015,False
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,AGR,Operating,A,2026,1109694.0,,,,Economic Development,,,General Funds,1.109694,False
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGS,AGS,Capital Improvement,C,2026,1900000.0,,,,Economic Development,,,General Obligation Bond Fund,1.9,True
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGR,AGR,Operating,A,2026,5580886.0,,,,Economic Development,,,General Funds,5.580886,False
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,P,P,Operating,P,2026,164450.0,,,,Economic Development,,,Other Federal Funds,0.16445,False
AGR812,MEASUREMENT STANDARDS,AGR,AGR,Operating,A,2026,746480.0,,,,Individual Rights,,,General Funds,0.74648,False
AGR846,PESTICIDES,AGR,AGR,Operating,P,2026,464629.0,,,,Environment,,,Other Federal Funds,0.464629,False
AGR846,PESTICIDES,AGR,AGR,Operating,A,2026,2729255.0,,,,Environment,,,General Funds,2.729255,False
AGR846,PESTICIDES,AGR,AGR,Operating,W,2026,2598038.0,,,,Environment,,,Revolving Funds,2.598038,False
AGS101,ACCOUNTING SYSTEM DEVELOPMENT AND MAINTENANCE,AGS,AGS,Operating,A,2026,10964409.0,,,,Government Operations,,,General Funds,10.964409,False
AGS102,EXPENDITURE EXAMINATION,AGS,AGS,Operating,A,2026,1628950.0,,,,Government Operations,,,General Funds,1.62895,False
AGS103,RECORDING AND REPORTING,AGS,AGS,Operating,A,2026,1386549.0,,,,Government Operations,,,General Funds,1.386549,False
AGS104,INTERNAL POST AUDIT,AGS,AGS,Operating,A,2026,1023968.0,,,,Government Operations,,,General Funds,1.023968,False
AGS105,ENFORCEMENT OF INFORMATION PRACTICES,AGS,AGS,Operating,A,2026,1258905.0,,,,Individual Rights,,,General Funds,1.258905,False
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,AGS,Operating,A,2026,4383125.0,,,,Government Operations,,,General Funds,4.383125,False
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,AGS,Operating,B,2026,521304.0,,,,Government Operations,,,Special Funds,0.521304,False
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,B,2026,2578244.0,,,,Government Operations,,,Special Funds,2.578244,False
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Capital Improvement,C,2026,4000000.0,,,,Government Operations,,,General Obligation Bond Fund,4.0,True
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,U,2026,6315295.0,,,,Government Operations,,,Interdepartmental Transfers,6.315295,False
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,AGS,Operating,A,2026,51336206.0,,,,Government Operations,,,General Funds,51.336206,False
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,AGS,Operating,A,2026,26987995.0,,,,Government Operations,,,General Funds,26.987995,False
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,AGS,Operating,W,2026,25701949.0,,,,Government Operations,,,Revolving Funds,25.701949,False
