program_id,program_name,department_code,department_name,section,fund_type,fiscal_year,amount,positions,positions_temp,ceiling,allocation_type,category,subcategory,notes,fund_category,amount_millions,is_capital,pct_of_total,pct_of_dept,dept_rank,overall_rank,cost_per_position
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,W,2027,5500000.0,,0.0,,,Economic Development,,,Revolving Funds,5.5,False,0.02,7.68,3,272,611111.0
AGR101,FINANCIAL ASSISTANCE FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,874338.0,9.0,0.0,,,Economic Development,,,General Funds,0.874338,False,0.0,1.22,17,477,97149.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,21335989.0,153.0,0.0,,,Economic Development,,,General Funds,21.335989,False,0.1,29.78,1,134,149203.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,U,2027,212095.0,,0.0,,,Economic Development,,,Interdepartmental Transfers,0.212095,False,0.0,0.3,24,543,1483.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,W,2027,50360.0,,0.0,,,Economic Development,,,Revolving Funds,0.05036,False,0.0,0.07,31,574,352.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,365946.0,,0.0,,,Economic Development,,,Other Federal Funds,0.365946,False,0.0,0.51,21,525,2559.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,4130800.0,,0.0,,,Economic Development,,,Special Funds,4.1308,False,0.02,5.77,6,318,28887.0
AGR122,PLANT PEST AND DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,T,2027,512962.0,,0.0,,,Economic Development,,,Trust Funds,0.512962,False,0.0,0.72,19,506,3587.0
AGR131,RABIES QUARANTINE,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,4781110.0,32.32,0.0,,,Economic Development,,,Special Funds,4.78111,False,0.02,6.67,5,301,147930.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,47802.0,,0.0,,,Economic Development,,,Special Funds,0.047802,False,0.0,0.07,32,575,1861.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,306941.0,1.0,1.0,,,Economic Development,,,Other Federal Funds,0.306941,False,0.0,0.43,22,529,11505.0
AGR132,ANIMAL DISEASE CONTROL,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,3352755.0,25.68,0.0,,,Economic Development,,,General Funds,3.352755,False,0.02,4.68,7,349,130559.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,W,2027,1375787.0,,0.0,,,Economic Development,,,Revolving Funds,1.375787,False,0.01,1.92,14,434,101910.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,1798532.0,19.0,0.0,,,Economic Development,,,General Funds,1.798532,False,0.01,2.51,13,418,94660.0
AGR141,AGRICULTURAL RESOURCE MANAGEMENT,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,2851320.0,13.5,0.0,,,Economic Development,,,Special Funds,2.85132,False,0.01,3.98,8,365,211209.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,138624.0,,0.0,,,Economic Development,,,Other Federal Funds,0.138624,False,0.0,0.19,26,556,5899.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,W,2027,127848.0,,0.0,,,Economic Development,,,Revolving Funds,0.127848,False,0.0,0.18,27,558,5440.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,1826443.0,23.5,0.0,,,Economic Development,,,General Funds,1.826443,False,0.01,2.55,12,415,77721.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,109046.0,,0.0,,,Economic Development,,,Special Funds,0.109046,False,0.0,0.15,29,565,4640.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,T,2027,300000.0,,0.0,,,Economic Development,,,Trust Funds,0.3,False,0.0,0.42,23,531,12766.0
AGR151,QUALITY AND PRICE ASSURANCE,AGR,Department of Agriculture and Biosecurity,Operating,N,2027,100000.0,,0.0,,,Economic Development,,,Federal Funds,0.1,False,0.0,0.14,30,569,4255.0
AGR153,AQUACULTURE DEVELOPMENT,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,978519.0,7.0,0.0,,,Economic Development,,,General Funds,0.978519,False,0.0,1.37,16,468,139788.0
AGR153,AQUACULTURE DEVELOPMENT,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,125000.0,,0.0,,,Economic Development,,,Special Funds,0.125,False,0.0,0.17,28,560,17857.0
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,Department of Agriculture and Biosecurity,Operating,B,2027,15000.0,,0.0,,,Economic Development,,,Special Funds,0.015,False,0.0,0.02,33,579,1364.0
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,Department of Agriculture and Biosecurity,Operating,N,2027,2051568.0,0.75,0.0,,,Economic Development,,,Federal Funds,2.051568,False,0.01,2.86,11,404,2735424.0
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,5289219.0,1.25,0.0,,,Economic Development,,,Other Federal Funds,5.289219,False,0.02,7.38,4,277,4231375.0
AGR171,AGRICULTURAL DEVELOPMENT AND MARKETING,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,1067694.0,11.0,0.0,,,Economic Development,,,General Funds,1.067694,False,0.0,1.49,15,455,97063.0
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,5556126.0,33.0,0.0,,,Economic Development,,,General Funds,5.556126,False,0.03,7.75,2,270,173629.0
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGS,Department of Accounting and General Services,Capital Improvement,C,2027,2200000.0,,0.0,,,Economic Development,,,General Obligation Bond Fund,2.2,True,0.01,0.67,29,397,68750.0
AGR192,GENERAL ADMINISTRATION FOR AGRICULTURE,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,164450.0,,0.0,,,Economic Development,,,Other Federal Funds,0.16445,False,0.0,0.23,25,553,5139.0
AGR812,MEASUREMENT STANDARDS,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,746480.0,10.0,0.0,,,Individual Rights,,,General Funds,0.74648,False,0.0,1.04,18,490,74648.0
AGR846,PESTICIDES,AGR,Department of Agriculture and Biosecurity,Operating,W,2027,2364038.0,,2.0,,,Environment,,,Revolving Funds,2.364038,False,0.01,3.3,10,386,60616.0
AGR846,PESTICIDES,AGR,Department of Agriculture and Biosecurity,Operating,P,2027,464629.0,3.0,1.0,,,Environment,,,Other Federal Funds,0.464629,False,0.0,0.65,20,512,154876.0
AGR846,PESTICIDES,AGR,Department of Agriculture and Biosecurity,Operating,A,2027,2729255.0,39.0,2.0,,,Environment,,,General Funds,2.729255,False,0.01,3.81,9,371,69981.0
AGS101,ACCOUNTING SYSTEM DEVELOPMENT AND MAINTENANCE,AGS,Department of Accounting and General Services,Operating,A,2027,8431323.0,22.0,0.0,,,Government Operations,,,General Funds,8.431323,False,0.04,2.56,10,220,383242.0
AGS102,EXPENDITURE EXAMINATION,AGS,Department of Accounting and General Services,Operating,A,2027,1629046.0,18.0,0.0,,,Government Operations,,,General Funds,1.629046,False,0.01,0.49,33,424,90503.0
AGS103,RECORDING AND REPORTING,AGS,Department of Accounting and General Services,Operating,A,2027,1387165.0,13.0,0.0,,,Government Operations,,,General Funds,1.387165,False,0.01,0.42,35,433,106705.0
AGS104,INTERNAL POST AUDIT,AGS,Department of Accounting and General Services,Operating,A,2027,1025751.0,10.0,3.0,,,Government Operations,,,General Funds,1.025751,False,0.0,0.31,40,461,102575.0
AGS105,ENFORCEMENT OF INFORMATION PRACTICES,AGS,Department of Accounting and General Services,Operating,A,2027,1258905.0,10.5,0.0,,,Individual Rights,,,General Funds,1.258905,False,0.01,0.38,36,440,119896.0
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,Department of Accounting and General Services,Operating,A,2027,6469149.0,21.0,1.0,,,Government Operations,,,General Funds,6.469149,False,0.03,1.96,15,258,323457.0
AGS111,ARCHIVES - RECORDS MANAGEMENT,AGS,Department of Accounting and General Services,Operating,B,2027,521304.0,3.0,1.0,,,Government Operations,,,Special Funds,0.521304,False,0.0,0.16,43,504,130326.0
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,Department of Accounting and General Services,Operating,B,2027,2578244.0,13.0,1.0,,,Government Operations,,,Special Funds,2.578244,False,0.01,0.78,26,377,198326.0
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,Department of Accounting and General Services,Operating,A,2027,52238803.0,136.0,0.0,,,Government Operations,,,General Funds,52.238803,False,0.24,15.85,1,61,378542.0
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,Department of Accounting and General Services,Operating,U,2027,6315295.0,33.0,1.0,,,Government Operations,,,Interdepartmental Transfers,6.315295,False,0.03,1.92,16,261,185744.0
AGS131,ENTERPRISE TECHNOLOGY SERVICES,AGS,Department of Accounting and General Services,Capital Improvement,C,2027,2000000.0,,1.0,,,Government Operations,,,General Obligation Bond Fund,2.0,True,0.01,0.61,31,409,58824.0
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,Department of Accounting and General Services,Operating,A,2027,26987995.0,,,,,Government Operations,,,General Funds,26.987995,False,0.12,8.19,2,108,
AGS203,STATE RISK MANAGEMENT AND INSURANCE ADMINISTRATION,AGS,Department of Accounting and General Services,Operating,W,2027,25706793.0,5.0,0.0,,,Government Operations,,,Revolving Funds,25.706793,False,0.12,7.8,4,115,5141359.0
AGS211,LAND SURVEY,AGS,Department of Accounting and General Services,Operating,U,2027,285000.0,,0.0,,,Government Operations,,,Interdepartmental Transfers,0.285,False,0.0,0.09,44,533,28500.0
AGS211,LAND SURVEY,AGS,Department of Accounting and General Services,Operating,A,2027,914121.0,10.0,0.0,,,Government Operations,,,General Funds,0.914121,False,0.0,0.28,42,474,91412.0
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,Department of Accounting and General Services,Capital Improvement,C,2027,4000.0,,0.0,,,Government Operations,,,General Obligation Bond Fund,0.004,True,0.0,0.0,46,583,44.0
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,Department of Accounting and General Services,Operating,W,2027,4000000.0,,0.0,,,Government Operations,,,Revolving Funds,4.0,False,0.02,1.21,20,324,43956.0
AGS221,"PUBLIC WORKS - PLANNING, DESIGN, AND CONSTRUCTION",AGS,Department of Accounting and General Services,Operating,A,2027,8112911.0,90.0,0.0,,,Government Operations,,,General Funds,8.112911,False,0.04,2.46,11,222,89153.0
