county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
hawaii,general-fund,General Fund,Operating,General Fund,General Fund,2026,667815000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,highway-fund,Highway Fund,Operating,Highway Fund,Special / Enterprise Funds,2026,63324000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,general-excise-tax-fund,General Excise Tax Fund,Operating,General Excise Tax Fund,General Fund,2026,75000000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,sewer-fund,Sewer Fund,Operating,Sewer Fund,Special / Enterprise Funds,2026,29723000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,short-term-vacation-rental-enforcement-fund,Short Term Vacation Rental Enforcement Fund,Operating,Short Term Vacation Rental Enforcement Fund,Trust & Other Funds,2026,929000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,cemetery-fund,Cemetery Fund,Operating,Cemetery Fund,Trust & Other Funds,2026,10000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,bikeway-fund,Bikeway Fund,Operating,Bikeway Fund,Special / Enterprise Funds,2026,209000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,beautification-fund,Beautification Fund,Operating,Beautification Fund,Trust & Other Funds,2026,213000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,vehicle-disposal-fund,Vehicle Disposal Fund,Operating,Vehicle Disposal Fund,Trust & Other Funds,2026,4682000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,solid-waste-fund,Solid Waste Fund,Operating,Solid Waste Fund,Special / Enterprise Funds,2026,53716000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,golf-course-fund,Golf Course Fund,Operating,Golf Course Fund,Special / Enterprise Funds,2026,2288000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,geothermal-royalty-fund,Geothermal Royalty Fund,Operating,Geothermal Royalty Fund,Trust & Other Funds,2026,1000000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,housing-fund,Housing Fund,Operating,Housing Fund,Special / Enterprise Funds,2026,54455000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
hawaii,geothermal-asset-fund,Geothermal Asset Fund,Operating,Geothermal Asset Fund,Trust & Other Funds,2026,50000.0,,,Hawaiʻi Bill 135 OPERATING BUDGET BY FUND (FY2026 col)
