county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
honolulu,dfm,Facility Maintenance,Operating,Highway Fund,Special / Enterprise Funds,2027,41741040.0,Road Maintenance,,data.honolulu.gov/puaw-t6sa
honolulu,ocean,Ocean Safety,Operating,General Fund,General Fund,2027,27084121.0,Ocean Safety,,data.honolulu.gov/puaw-t6sa
honolulu,ddc,Design and Construction,Operating,General Fund,General Fund,2027,14389132.0,Project and Construction Management,,data.honolulu.gov/puaw-t6sa
honolulu,ddc,Design and Construction,Operating,Highway Fund,Special / Enterprise Funds,2027,8949422.0,Project and Construction Management,,data.honolulu.gov/puaw-t6sa
honolulu,dts,Transportation Services,Operating,Highway Fund,Special / Enterprise Funds,2027,7018324.0,Transportation Technology,,data.honolulu.gov/puaw-t6sa
honolulu,hesd,Emergency Services,Operating,General Fund,General Fund,2027,45218780.0,Emergency Medical Services,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,General Fund,General Fund,2027,30539830.0,Public Building and Electrical Maintenance,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,10246599.0,Environmental Quality,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,General Fund,General Fund,2027,16718991.0,Automotive Equipment Services,,data.honolulu.gov/puaw-t6sa
honolulu,ocean,Ocean Safety,Operating,Hanauma Bay Nature Preserve Fund,Special / Enterprise Funds,2027,1155415.0,Ocean Safety,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,Sewer Fund,Special / Enterprise Funds,2027,1206547.0,Automotive Equipment Services,,data.honolulu.gov/puaw-t6sa
honolulu,csd,Customer Services,Operating,General Fund,General Fund,2027,2232632.0,Public Communication,,data.honolulu.gov/puaw-t6sa
honolulu,dpr,Parks and Recreation,Operating,General Fund,General Fund,2027,18190986.0,Urban Forestry Program,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Refuse Genl Operating Acct -SWSF,Special / Enterprise Funds,2027,326000.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Sewer Fund,Special / Enterprise Funds,2027,32294945.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,des,Enterprise Services,Operating,Golf Fund,Special / Enterprise Funds,2027,13572942.0,Golf Courses,,data.honolulu.gov/puaw-t6sa
honolulu,pat,Prosecuting Attorney,Operating,General Fund,General Fund,2027,8014012.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,des,Enterprise Services,Operating,Special Events Fund,Special / Enterprise Funds,2027,1266770.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,hpd,Police,Operating,General Fund,General Fund,2027,203446516.0,Patrol,,data.honolulu.gov/puaw-t6sa
honolulu,dit,Information Technology,Operating,General Fund,General Fund,2027,37968159.0,Administration,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Sld Wst Dis Fac Acct - SWSF,Trust & Other Funds,2027,136604887.0,Refuse Collection and Disposal,,data.honolulu.gov/puaw-t6sa
honolulu,env,Environmental Services,Operating,Recycling Account - SWSF,Trust & Other Funds,2027,28272748.0,Refuse Collection and Disposal,,data.honolulu.gov/puaw-t6sa
honolulu,dfm,Facility Maintenance,Operating,Highway Fund,Special / Enterprise Funds,2027,15638286.0,Public Building and Electrical Maintenance,,data.honolulu.gov/puaw-t6sa
honolulu,hfd,Fire,Operating,General Fund,General Fund,2027,135355324.0,Fire Operations,,data.honolulu.gov/puaw-t6sa
