county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
kauai,bikeway-fund,Bikeway Fund,Capital Improvement,Bikeway Fund,Special / Enterprise Funds,2027,2007.0,lslandwide Bike/Pedestrian Path,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,1354.0,'Anini Bridge (County Match),,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,6356.0,Biennial Bridge Inspections (County Match),,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,107221.0,BMPs Refuse Transfer Stations lslandwide,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,279401.0,Fire Station Improvements,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,78689.0,Fire Station Improvements,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,47000.0,Hanapepe Road Resurfacing (County Match),,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,32481.0,lslandwide Road Safety Program,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,50300.0,Kanaele Road Slope Stabilization,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,14897.0,Lima Ola Onsite Phase I,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,102803.0,Niumalu Bridge Replacement,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,75666.0,North Vidinha Restroom,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,199334.0,North Vidinha Restroom,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,75118.0,Pi'ikoi Interior Renovation Phase II,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,1.0,Puhi Road Ph II (County Match),,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,17893.0,Puhi Road Ph II (County Match),,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,192432.0,Replace/Improve Comfort Stations Various,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,407568.0,Replace/Improve Comfort Stations Various,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,32716.0,Veterans Cemetery Improvements,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,171426.0,Kapule Building Renovation,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,bond-fund,Bond Fund,Capital Improvement,Bond Fund,Bond / Debt Funds,2027,112635.0,LThu'e Inclusive Playground,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
kauai,development-fund,Development Fund,Capital Improvement,Development Fund,Trust & Other Funds,2027,27600.0,lslandwide Bus Stops,,Kauaʻi CIP ordinance (fy2027_cip_b-2026-918)
