county,department_code,department_name,section,fund_name,fund_category,fiscal_year,amount,program_name,positions,source
maui,agriculture,Agriculture,Operating,General Fund,General Fund,2026,12708100.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,corporation-counsel,Corporation Counsel,Operating,General Fund,General Fund,2026,5857800.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,county-clerk,County Clerk,Operating,General Fund,General Fund,2026,3039500.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,county-council,County Council,Operating,General Fund,General Fund,2026,12125900.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,east-maui-water-authority,East Maui Water Authority,Operating,General Fund,General Fund,2026,1273500.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,emergency-management-agency,Emergency Management Agency,Operating,General Fund,General Fund,2026,3689500.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,environmental-management,Environmental Management,Operating,Sewer / Solid Waste Fund,Special / Enterprise Funds,2026,129922900.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,finance,Finance,Operating,General Fund,General Fund,2026,16730599.999999998,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,finance-countywide,Finance-Countywide,Operating,General Fund,General Fund,2026,424464400.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,fire-and-public-safety,Fire and Public Safety,Operating,General Fund,General Fund,2026,67775900.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,housing,Housing,Operating,General Fund,General Fund,2026,33483400.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,human-concerns,Human Concerns,Operating,General Fund,General Fund,2026,26033000.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,liquor-control,Liquor Control,Operating,Liquor Fund,Special / Enterprise Funds,2026,4228600.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,management,Management,Operating,General Fund,General Fund,2026,93392900.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,office-of-the-mayor,Office of the Mayor,Operating,General Fund,General Fund,2026,18289600.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,iwi-resources,Ōiwi Resources,Operating,General Fund,General Fund,2026,1929200.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,parks-and-recreation,Parks and Recreation,Operating,General Fund,General Fund,2026,42779400.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,personnel-services,Personnel Services,Operating,General Fund,General Fund,2026,2712100.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,planning,Planning,Operating,General Fund,General Fund,2026,9531500.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,police,Police,Operating,General Fund,General Fund,2026,98309000.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,prosecuting-attorney,Prosecuting Attorney,Operating,General Fund,General Fund,2026,9753800.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,public-works,Public Works,Operating,General Fund,General Fund,2026,78045200.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,transportation,Transportation,Operating,General Fund,General Fund,2026,38559200.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,water-supply,Water Supply,Operating,Water Supply Fund,Special / Enterprise Funds,2026,91530300.0,,,Maui FY2026 Mayor's Proposed (Figure 2-8)
maui,environmental-management,Environmental Management,Capital Improvement,Solid Waste Fund,Special / Enterprise Funds,2026,1000000.0,Environmental Compliance System Design and Construction,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Solid Waste Fund,Special / Enterprise Funds,2026,300000.0,Solid Waste Master Plans for County Landfills and Solid Waste Facilities,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,EP&S Fund,Trust & Other Funds,2026,649000.0,FOG Recycling and Composting at the Organics Processing Facility,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,General Obligation Bond Fund,Bond / Debt Funds,2026,2000000.0,Countywide Environmental Protection Agency (EPA) Compliance Wastewater Reclamation Facility Renovation Projects,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,2000000.0,Countywide Environmental Protection Agency (EPA) Compliance Wastewater Reclamation Facility Renovation Projects,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,General Obligation Bond Fund,Bond / Debt Funds,2026,2500000.0,Countywide Wastewater System Modifications,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,2500000.0,Countywide Wastewater System Modifications,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,500000.0,Countywide Environmental Protection Agency (EPA) Compliance Projects,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,500000.0,Countywide Wastewater Project Management,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,GET / Revolving Fund,Trust & Other Funds,2026,6000000.0,North Kihei Mauka Transmission System,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,1000000.0,Kihei No. 6 Force Main Replacement,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,General Obligation Bond Fund,Bond / Debt Funds,2026,2000000.0,Kihei Wastewater Pump Station No. 4 Modification/Upgrade,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,GET / Revolving Fund,Trust & Other Funds,2026,2000000.0,Kihei Wastewater Pump Station No. 4 Modification/Upgrade,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,GET / Revolving Fund,Trust & Other Funds,2026,4300000.0,Kihei Wastewater Pump Station No. 5 Modification and Force Main Replacement,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,GET / Revolving Fund,Trust & Other Funds,2026,1000000.0,Kihei Wastewater Pump Station No. 6 Modification/Upgrade,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,State Revolving Loan Fund,Trust & Other Funds,2026,9400000.0,Kihei Wastewater Pump Station No. 7 Relocation,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,General Obligation Bond Fund,Bond / Debt Funds,2026,1000000.0,Kaiola Place Sewer Extension,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,400000.0,South Kihei Capacity Sewer Upgrades,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,EP&S Fund,Trust & Other Funds,2026,275000.0,Lanai Recycling Center Planning,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,General Obligation Bond Fund,Bond / Debt Funds,2026,1500000.0,Lanai Wastewater Treatment Pond Renovations,,Maui FY2026 Mayor's Proposed (CIP project sheets)
maui,environmental-management,Environmental Management,Capital Improvement,Sewer Fund,Special / Enterprise Funds,2026,300000.0,Paia Wastewater Pump Station Modifications,,Maui FY2026 Mayor's Proposed (CIP project sheets)
